id,customer_name,sentiment,csat_score,date,reason,customer_city,customer_state,channel,response_time,call_duration_mins,center_city,center_state,customer_state_abbrev,month,day
KVF-52237801-m-994764-1l,Harlen Aspole,Neutral,8.0,2020-10-01,Billing Question,Buffalo,New York,Email,Within SLA,43,Denver,Colorado,NY,10,1
LHF-79321231-o-604882-TQ,Alisun Sturmey,Positive,8.0,2020-10-01,Billing Question,Charlottesville,Virginia,Email,Above SLA,13,Chicago,Illinois,VA,10,1
GAG-90946129-V-874791-hc,Salmon Cacacie,Very Negative,1.0,2020-10-01,Billing Question,Houston,Texas,Chatbot,Within SLA,7,Denver,Colorado,TX,10,1
CVU-92106898-1-319738-Gj,Amalle Coggen,Negative,5.0,2020-10-01,Billing Question,Mobile,Alabama,Email,Within SLA,32,Chicago,Illinois,AL,10,1
WWV-49935360-J-983682-qr,Aurelie Lovstrom,Very Negative,2.0,2020-10-01,Billing Question,Washington,District of Columbia,Chatbot,Below SLA,16,Los Angeles,California,,10,1
ROY-68330543-B-998309-Tf,Devonna Puleston,Neutral,8.0,2020-10-01,Payments,Phoenix,Arizona,Call-Center,Below SLA,29,Los Angeles,California,AZ,10,1
SFG-23532265-3-097136-GZ,Artair Quarrington,Neutral,6.0,2020-10-01,Billing Question,Tallahassee,Florida,Call-Center,Above SLA,42,Los Angeles,California,FL,10,1
EUR-08548606-2-647034-kh,Nellie Gendricke,Very Negative,2.0,2020-10-01,Billing Question,Topeka,Kansas,Call-Center,Above SLA,6,Los Angeles,California,KS,10,1
RWB-98946496-A-163349-S4,Jennica Seawright,Positive,7.0,2020-10-01,Payments,San Diego,California,Call-Center,Above SLA,28,Baltimore,Maryland,CA,10,1
DDG-26669474-0-597681-kl,Moore Mapis,Very Negative,2.0,2020-10-01,Payments,San Francisco,California,Call-Center,Within SLA,13,Los Angeles,California,CA,10,1
KNS-91261631-K-373152-Ys,Retha Sale,Neutral,6.0,2020-10-01,Billing Question,New York City,New York,Email,Within SLA,15,Baltimore,Maryland,NY,10,1
WCV-14923704-U-793624-gD,Garrik Brockett,Neutral,6.0,2020-10-01,Billing Question,Huntington,West Virginia,Chatbot,Below SLA,17,Baltimore,Maryland,WV,10,1
RML-48212549-h-899431-Oq,Truman Signorelli,Neutral,6.0,2020-10-01,Billing Question,Bakersfield,California,Call-Center,Below SLA,14,Baltimore,Maryland,CA,10,1
JDS-37345489-Z-090378-k5,Wake Leinster,Neutral,6.0,2020-10-01,Billing Question,Jacksonville,Florida,Chatbot,Above SLA,19,Baltimore,Maryland,FL,10,1
